Name,Edition,Count,Condition,Rarity,Buy List Amount,Retail Amount,#N/A,#N/A,,Trade In:,#N/A
Karplusan Forest,Ice Age,1,Near Mint,Rare,$3.750,$7.25,$3.750,$7.25,,,
"Karrthus, Tyrant of Jund",Alara Reborn,1,Near Mint,MythicRare,$7.250,$14.25,$7.250,$14.25,,,
Kavu Aggressor,Invasion,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Kavu Chameleon,Invasion,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Kavu Climber,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Kavu Glider,Apocalypse,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Kavu Howler,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Kavu Monarch,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Kavu Recluse,Planeshift,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Kavu Runner,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Kavu Scout,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Kavu Titan,Invasion,1,Near Mint,Rare,$.050,$0.75,$.050,$0.75,,,
Keeper of the Beasts,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Keeper of the Flame,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Keeper of the Mind,Exodus,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Keepers of the Faith,Legends,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Keldon Battlewagon,Prophecy,4,Near Mint,Rare,$.050,$0.30,$.200,$1.20,,,
Keldon Mantle,Planeshift,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Keldon Necropolis,Invasion,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Kelsinko Ranger,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
"Kemba, Kha Regent",Scars of Mirrodin,19,Near Mint,Rare,$.050,$0.45,$.950,$8.55,,,
"Keranos, God of Storms",Journey into Nyx,15,Near Mint,MythicRare,$5.500,$11.00,$82.500,$165.00,,,
Kessig Cagebreakers,Innistrad,41,Near Mint,Rare,$.050,$0.30,$2.050,$12.30,,,
Kessig Wolf Run,Innistrad,1,Near Mint,Rare,$.500,$2.25,$.500,$2.25,,,
Kezzerdrix,Tempest,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Kheru Lich Lord,Khans of Tarkir,36,Near Mint,Rare,$.050,$0.30,$1.800,$10.80,,,
Kheru Spellsnatcher,Khans of Tarkir,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
"Kiki-Jiki, Mirror Breaker",Modern Masters 2015 Edition,3,Near Mint,MythicRare,$7.500,$14.75,$22.500,$44.25,,,
Kill Switch,Nemesis,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Killer Whale,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Killing Wave,Avacyn Restored,11,Near Mint,Rare,$.050,$0.90,$.550,$9.90,,,
King Cheetah,Visions,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
King Crab,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
"King Macar, the Gold-Cursed",Journey into Nyx,13,Near Mint,Rare,$.050,$0.30,$.650,$3.90,,,
"Kiora, Master of the Depths",Battle for Zendikar,34,Near Mint,MythicRare,$.750,$2.75,$25.500,$93.50,,,
"Kiora, the Crashing Wave",Born of the Gods,8,Near Mint,MythicRare,$.750,$2.75,$6.000,$22.00,,,
"Kira, Great Glass-Spinner",Betrayers of Kamigawa,1,Near Mint,Rare,$7.750,$16.50,$7.750,$16.50,,,
"Kira, Great Glass-Spinner",Modern Masters,2,Near Mint,Rare,$8.250,$15.50,$16.500,$31.00,,,
Kismet,Fourth Edition,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Kitchen Finks,Shadowmoor,1,Near Mint,Uncommon,$7.250,$14.75,$7.250,$14.75,,,
Kitchen Finks,Modern Masters,2,Near Mint,Uncommon,$7.500,$14.50,$15.000,$29.00,,,
Kithkin Armor,Weatherlight,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Kjeldoran Dead,Ice Age,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Kjeldoran Guard,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Kjeldoran Warrior,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Knight of the Mists,Visions,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Knight of the Reliquary,Conflux,1,Near Mint,Rare,$5.500,$11.00,$5.500,$11.00,,,
Knight of the White Orchid,Magic Origins,9,Near Mint,Rare,$.750,$3.25,$6.750,$29.25,,,
Knight of Valor,Visions,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Knights of Thorn,The Dark,1,Near Mint,Rare,$.050,$0.90,$.050,$0.90,,,
Knowledge Pool,Mirrodin Besieged,7,Near Mint,Rare,$.050,$0.30,$.350,$2.10,,,
Knowledge Vault,Legends,1,Near Mint,Rare,$1.000,$3.50,$1.000,$3.50,,,
"Kolaghan, the Storm's Fury",Fate Reforged,44,Near Mint,Rare,$.050,$0.55,$2.200,$24.20,,,
Kolaghan's Command,Dragons of Tarkir,5,Near Mint,Rare,$4.500,$8.75,$22.500,$43.75,,,
Kookus,Visions,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Kor Haven,Nemesis,2,Near Mint,Rare,$3.750,$7.25,$7.500,$14.50,,,
Kor Spiritdancer,Planechase 2012,2,Near Mint,Rare,$6.750,$13.25,$13.500,$26.50,,,
Kor Spiritdancer,Rise of the Eldrazi,4,Near Mint,Rare,$6.000,$12.00,$24.000,$48.00,,,
Kormus Bell,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Koskun Keep,Homelands,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
"Kothophed, Soul Hoarder",Magic Origins,26,Near Mint,Rare,$.050,$0.45,$1.300,$11.70,,,
"Kozilek, Butcher of Truth",Modern Masters 2015 Edition,3,Near Mint,MythicRare,$12.000,$20.00,$36.000,$60.00,,,
"Kozilek, the Great Distortion",Oath of the Gatewatch,12,Near Mint,MythicRare,$2.500,$4.75,$30.000,$57.00,,,
Kris Mage,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Krovikan Sorcerer,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Krovikan Vampire,Ice Age,4,Near Mint,Uncommon,$.003,$0.25,$.012,$1.00,,,
Kruin Outlaw,Innistrad,3,Near Mint,Rare,$.500,$2.00,$1.500,$6.00,,,
"Kruphix, God of Horizons",Journey into Nyx,15,Near Mint,MythicRare,$3.250,$6.25,$48.750,$93.75,,,
Kry Shield,Legends,2,Near Mint,Uncommon,$.003,$0.25,$.006,$0.50,,,
Kudzu,Revised Edition,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Kukemssa Pirates,Mirage,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Kuldotha Forgemaster,Scars of Mirrodin,3,Near Mint,Rare,$.500,$2.25,$1.500,$6.75,,,
Kuldotha Phoenix,Scars of Mirrodin,11,Near Mint,Rare,$.050,$0.30,$.550,$3.30,,,
"Kurkesh, Onakke Ancient",Magic 2015 Core Set,3,Near Mint,Rare,$.050,$0.30,$.150,$0.90,,,
Kyren Archive,Mercadian Masques,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Kyren Glider,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Kyren Legate,Mercadian Masques,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Kyren Negotiations,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Kyren Sniper,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Kyren Toy,Mercadian Masques,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
"Kytheon, Hero of Akros",Magic Origins,1,Near Mint,Rare,$5.500,$10.93,$5.500,$10.93,,,
"Kytheon, Hero of Akros",Magic Origins,1,Near Mint,MythicRare,$6.000,$11.88,$6.000,$11.88,,,
Kytheon's Irregulars,Magic Origins,41,Near Mint,MythicRare,$.250,$0.30,$10.250,$12.30,,,
Lab Rats,Stronghold,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Laboratory Maniac,Innistrad,6,Near Mint,Rare,$.750,$3.00,$4.500,$18.00,,,
Labyrinth Champion,Theros,50,Near Mint,Rare,$.050,$0.30,$2.500,$15.00,,,
Laccolith Grunt,Nemesis,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Laccolith Rig,Nemesis,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Laccolith Titan,Nemesis,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Laccolith Warrior,Nemesis,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Laccolith Whelp,Nemesis,10,Near Mint,Common,$.003,$0.10,$.030,$1.00,,,
Lady Caleria,Legends,1,Near Mint,Rare,$1.000,$3.75,$1.000,$3.75,,,
Lance,Revised Edition,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Land Cap,Ice Age,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Land Grant,Mercadian Masques,4,Near Mint,Common,$.003,$0.25,$.012,$1.00,,,
Land Leeches,The Dark,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Land Tax,Fourth Edition,2,Near Mint,Rare,$6.750,$13.25,$13.500,$26.50,,,
Land's Edge,Legends,3,Near Mint,Rare,$5.500,$10.75,$16.500,$32.25,,,
Languish,Magic Origins,1,Near Mint,Rare,$2.750,$5.25,$2.750,$5.25,,,
Lantern Scout,Battle for Zendikar,26,Near Mint,Rare,$.050,$0.75,$1.300,$19.50,,,
Lapis Lazuli Talisman,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Larceny,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Lashknife,Nemesis,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Lashknife Barrier,Planeshift,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Lashwrithe,New Phyrexia,4,Near Mint,Rare,$.050,$0.45,$.200,$1.80,,,
Last Breath,Mercadian Masques,2,Near Mint,Uncommon,$.003,$0.25,$.006,$0.50,,,
Last Caress,Apocalypse,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Latulla's Orders,Prophecy,6,Near Mint,Common,$.003,$0.10,$.018,$0.60,,,
Launch,Urza's Saga,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Launch the Fleet,Journey into Nyx,11,Near Mint,Rare,$.050,$0.65,$.550,$7.15,,,
Lava Axe,Urza's Legacy,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Lava Zombie,Planeshift,6,Near Mint,Common,$.003,$0.10,$.018,$0.60,,,
Lavinia of the Tenth,Dragon's Maze,46,Near Mint,Rare,$.050,$0.30,$2.300,$13.80,,,
Lawbringer,Nemesis,12,Near Mint,Common,$.003,$0.10,$.036,$1.20,,,
Lay of the Land,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
"Lazav, Dimir Mastermind",Gatecrash,7,Near Mint,MythicRare,$.750,$2.50,$5.250,$17.50,,,
Lead-Belly Chimera,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Leap,Stronghold,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Leering Gargoyle,Mirage,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Legion's Initiative,Dragon's Maze,11,Near Mint,MythicRare,$.250,$1.50,$2.750,$16.50,,,
Legions of Lim-Dûl,Ice Age,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Leonin Arbiter,Scars of Mirrodin,10,Near Mint,Rare,$1.250,$4.75,$12.500,$47.50,,,
Lesser Gargadon,Prophecy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Lesser Werewolf,Legends,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Lesser Werewolf,Legends,1,Good (Lightly Played),Uncommon,$.003,$0.50,$.003,$0.50,,,
Leviathan,The Dark,1,Near Mint,Rare,$.050,$0.90,$.050,$0.90,,,
Levitation,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Ley Line,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Library of Leng,Revised Edition,4,Near Mint,Uncommon,$.003,$0.25,$.012,$1.00,,,
Lich,Unlimited Edition,1,Near Mint,Rare,$17.500,$29.00,$17.500,$29.00,,,
Liege of the Hollows,Weatherlight,4,Near Mint,Rare,$.050,$0.75,$.200,$3.00,,,
Life // Death,Apocalypse,7,Near Mint,Uncommon,$.003,$0.25,$.021,$1.75,,,
Life Chisel,Legends,5,Near Mint,Uncommon,$.003,$0.75,$.015,$3.75,,,
Life Matrix,Legends,1,Near Mint,Rare,$.750,$3.25,$.750,$3.25,,,
Life's Finale,New Phyrexia,5,Near Mint,Rare,$.100,$1.75,$.500,$8.75,,,
Life's Legacy,Magic 2015 Core Set,13,Near Mint,Rare,$.050,$0.30,$.650,$3.90,,,
Lifebane Zombie,Magic 2014 Core Set,10,Near Mint,Rare,$.050,$0.55,$.500,$5.50,,,
Lifeforce,Revised Edition,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Lifelace,Fourth Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Lifeline,Urza's Saga,2,Near Mint,Rare,$1.000,$4.00,$2.000,$8.00,,,
Lifetap,Revised Edition,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Lightbringer,Nemesis,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Lightning Bolt,Revised Edition,2,Near Mint,Common,$.250,$2.25,$.500,$4.50,,,
Lightning Bolt,Revised Edition,4,Near Mint,Common,$.250,$2.25,$1.000,$9.00,,,
Lightning Bolt,Fourth Edition,4,Near Mint,Common,$.250,$2.25,$1.000,$9.00,,,
Lightning Elemental,Tempest,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Lightning Hounds,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Lightning Reflexes,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Liliana's Reaver,Magic 2014 Core Set,18,Near Mint,Rare,$.050,$0.55,$.900,$9.90,,,
Lilting Refrain,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Lim-Dûl's Cohort,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
"Lin Sivvi, Defiant Hero",Nemesis,1,Near Mint,Rare,$.100,$1.00,$.100,$1.00,,,
"Linvala, the Preserver",Oath of the Gatewatch,10,Near Mint,MythicRare,$.750,$2.75,$7.500,$27.50,,,
Livewire Lash,Scars of Mirrodin,3,Near Mint,Rare,$.050,$0.45,$.150,$1.35,,,
Living Airship,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Living Armor,The Dark,1,Good (Lightly Played),Uncommon,$.003,$0.15,$.003,$0.15,,,
Living Armor,The Dark,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Living End,Time Spiral,1,Near Mint,Rare,$7.000,$14.00,$7.000,$14.00,,,
Living Lore,Dragons of Tarkir,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Living Plane,Legends,1,Near Mint,Rare,$30.000,$50.00,$30.000,$50.00,,,
Living Wall,Revised Edition,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Llanowar Cavalry,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Llanowar Dead,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Llanowar Druid,Weatherlight,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Llanowar Elite,Invasion,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Llanowar Elves,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Llanowar Elves,Revised Edition,14,Near Mint,Common,$.003,$0.15,$.042,$2.10,,,
Llanowar Knight,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Llanowar Sentinel,Weatherlight,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Llanowar Vanguard,Invasion,3,Near Mint,Common,$.003,$0.10,$.009,$0.30,,,
Llanowar Wastes,Magic Origins,28,Near Mint,Rare,$.100,$1.75,$2.800,$49.00,,,
Llanowar Wastes,Magic 2015 Core Set,6,Near Mint,Rare,$.500,$2.00,$3.000,$12.00,,,
Lobotomy,Invasion,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Lone Revenant,Avacyn Restored,39,Near Mint,Rare,$.050,$0.30,$1.950,$11.70,,,
Lone Wolf,Urza's Legacy,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Longbow Archer,Visions,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Looming Shade,Urza's Saga,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Lord of Atlantis,Revised Edition,1,Near Mint,Rare,$2.500,$5.00,$2.500,$5.00,,,
Lord of Extinction,Alara Reborn,1,Near Mint,MythicRare,$8.250,$16.25,$8.250,$16.25,,,
Lord of the Unreal,Magic 2012,6,Near Mint,Rare,$.050,$0.90,$.300,$5.40,,,
Lord of the Void,Gatecrash,2,Near Mint,MythicRare,$2.000,$4.00,$4.000,$8.00,,,
Lost in the Woods,Dark Ascension,34,Near Mint,Rare,$.050,$0.30,$1.700,$10.20,,,
Lost Soul,Legends,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Lost Soul,Fourth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Lost Soul,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Lotleth Troll,Return to Ravnica,39,Near Mint,Rare,$.050,$0.65,$1.950,$25.35,,,
Lotus Cobra,Zendikar,2,Near Mint,MythicRare,$7.250,$14.50,$14.500,$29.00,,,
Lowland Basilisk,Stronghold,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Loxodon Smiter,Return to Ravnica,37,Near Mint,Rare,$.500,$2.25,$18.500,$83.25,,,
Ludevic's Test Subject,Innistrad,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Lull,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Lumbering Falls,Battle for Zendikar,88,Near Mint,Rare,$.100,$1.50,$8.800,$132.00,,,
Lumbering Satyr,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Luminate Primordial,Gatecrash,22,Near Mint,Rare,$.050,$0.30,$1.100,$6.60,,,
Lunar Mystic,Avacyn Restored,43,Near Mint,Rare,$.050,$0.30,$2.150,$12.90,,,
Lunge,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Lure,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Lure,Revised Edition,8,Near Mint,Uncommon,$.003,$0.15,$.024,$1.20,,,
Lurker,The Dark,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Lurking Evil,Urza's Saga,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Lux Cannon,Scars of Mirrodin,1,Near Mint,MythicRare,$.750,$3.00,$.750,$3.00,,,
Maelstrom Pulse,Modern Masters,2,Near Mint,Rare,$7.500,$14.75,$15.000,$29.50,,,
Maelstrom Wanderer,Eternal Masters,1,Near Mint,MythicRare,$5.500,$11.00,$5.500,$11.00,,,
Mage il-Vec,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Mage-Ring Responder,Magic Origins,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Mageta's Boon,Prophecy,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Maggot Carrier,Planeshift,9,Near Mint,Common,$.003,$0.10,$.027,$0.90,,,
Maggot Therapy,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Magical Hack,Fourth Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Magical Hack,Revised Edition,3,Near Mint,Rare,$.050,$0.30,$.150,$0.90,,,
Magistrate's Veto,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Magma Burst,Planeshift,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Magma Mine,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Magmaquake,Magic 2013,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Magnetic Mine,Mirrodin Besieged,11,Near Mint,Rare,$.050,$0.30,$.550,$3.30,,,
Magnetic Mountain,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Mahamoti Djinn,Fourth Edition,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Mahamoti Djinn,Magic Origins,9,Near Mint,Rare,$.050,$0.45,$.450,$4.05,,,
Mahamoti Djinn,Magic 2015 Core Set,10,Near Mint,Rare,$.050,$0.30,$.500,$3.00,,,
Malicious Advice,Planeshift,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Malignus,Avacyn Restored,1,Near Mint,MythicRare,$.500,$2.25,$.500,$2.25,,,
Man-o'-War,Visions,2,Near Mint,Common,$.003,$0.25,$.006,$0.50,,,
Mana Bloom,Return to Ravnica,57,Near Mint,Rare,$.050,$0.30,$2.850,$17.10,,,
Mana Breach,Exodus,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Mana Cache,Nemesis,3,Near Mint,Rare,$.050,$0.30,$.150,$0.90,,,
Mana Chains,Weatherlight,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Mana Clash,The Dark,1,Good (Lightly Played),Rare,$.050,$0.45,$.050,$0.45,,,
Mana Clash,The Dark,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Mana Confluence,Journey into Nyx,3,Near Mint,Rare,$1.250,$4.50,$3.750,$13.50,,,
Mana Crypt,Eternal Masters,1,Near Mint,MythicRare,$51.500,$85.75,$51.500,$85.75,,,
Mana Cylix,Planeshift,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Mana Drain,Legends,1,Played,Uncommon,$87.500,$174.89,$87.500,$174.89,,,
Mana Drain,Legends,1,Good (Lightly Played),Uncommon,$95.250,$190.32,$95.250,$190.32,,,
Mana Flare,Revised Edition,4,Near Mint,Rare,$.500,$2.00,$2.000,$8.00,,,
Mana Maze,Invasion,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Mana Short,Revised Edition,1,Near Mint,Rare,$.050,$0.65,$.050,$0.65,,,
Mana Short,Revised Edition,1,Played,Rare,$.050,$0.65,$.050,$0.65,,,
Mana Vapors,Prophecy,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Mana Vault,Revised Edition,1,Near Mint,Rare,$5.000,$10.18,$5.000,$10.18,,,
Mana Vault,Revised Edition,4,Good (Lightly Played),Rare,$5.500,$11.00,$22.000,$44.00,,,
Mana Vortex,The Dark,1,Good (Lightly Played),Rare,$1.000,$3.70,$1.000,$3.70,,,
Mana Vortex,The Dark,2,Near Mint,Rare,$1.000,$4.00,$2.000,$8.00,,,
Manabarbs,Revised Edition,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Manabarbs,Magic 2012,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Manabond,Exodus,1,Near Mint,Rare,$1.250,$4.50,$1.250,$4.50,,,
Manacles of Decay,Apocalypse,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Managorger Hydra,Magic Origins,33,Near Mint,Rare,$.100,$1.50,$3.300,$49.50,,,
Mangara's Equity,Mirage,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Maniacal Rage,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Maniacal Rage,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Manipulate Fate,Invasion,4,Near Mint,Uncommon,$.003,$0.50,$.012,$2.00,,,
Manor Gargoyle,Innistrad,34,Near Mint,Rare,$.050,$0.30,$1.700,$10.20,,,
Mantis Rider,Khans of Tarkir,55,Near Mint,Rare,$.050,$0.45,$2.750,$24.75,,,
Marble Diamond,Mirage,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Marble Priest,Legends,1,Good (Lightly Played),Uncommon,$.003,$0.25,$.003,$0.25,,,
March from the Tomb,Battle for Zendikar,44,Near Mint,Rare,$.050,$0.30,$2.200,$13.20,,,
March of Souls,Planeshift,1,Near Mint,Rare,$.050,$0.65,$.050,$0.65,,,
Mardu Ascendancy,Khans of Tarkir,35,Near Mint,Rare,$.050,$0.30,$1.750,$10.50,,,
Mardu Strike Leader,Fate Reforged,33,Near Mint,Rare,$.050,$0.65,$1.650,$21.45,,,
Markov Blademaster,Dark Ascension,14,Near Mint,Rare,$.050,$0.65,$.700,$9.10,,,
Markov Dreadknight,Shadows over Innistrad,14,Near Mint,Rare,$.050,$0.30,$.700,$4.20,,,
Marsh Boa,Prophecy,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Marsh Crocodile,Planeshift,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Marsh Flats,Zendikar,1,Near Mint,Rare,$26.500,$44.25,$26.500,$44.25,,,
Marsh Gas,The Dark,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Marsh Goblins,The Dark,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Marsh Viper,The Dark,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Martial Law,Return to Ravnica,62,Near Mint,Rare,$.050,$0.30,$3.100,$18.60,,,
Martyr's Cry,The Dark,1,Near Mint,Rare,$.050,$0.65,$.050,$0.65,,,
Martyrs' Tomb,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Mask of the Mimic,Stronghold,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Mass Calcify,Magic 2015 Core Set,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Massacre,Nemesis,4,Near Mint,Uncommon,$.003,$0.35,$.012,$1.40,,,
Master of Arms,Weatherlight,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Master of Etherium,Duel Decks: Elspeth vs. Tezzeret,1,Near Mint,Rare,$6.000,$11.75,$6.000,$11.75,,,
Master of Pearls,Khans of Tarkir,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Master of Predicaments,Magic 2015 Core Set,13,Near Mint,Rare,$.050,$0.15,$.650,$1.95,,,
Master of the Feast,Journey into Nyx,19,Near Mint,Rare,$.100,$1.00,$1.900,$19.00,,,
